Feature,Dtype,Missing_Count,Missing_Pct,Unique_Values
PoolQC,object,1453,99.52,3
MiscFeature,object,1406,96.3,4
Alley,object,1369,93.77,2
Fence,object,1179,80.75,4
MasVnrType,object,872,59.73,3
FireplaceQu,object,690,47.26,5
LotFrontage,float64,259,17.74,110
GarageType,object,81,5.55,6
GarageYrBlt,float64,81,5.55,97
GarageFinish,object,81,5.55,3
GarageQual,object,81,5.55,5
GarageCond,object,81,5.55,5
BsmtExposure,object,38,2.6,4
BsmtFinType2,object,38,2.6,6
BsmtQual,object,37,2.53,4
BsmtCond,object,37,2.53,4
BsmtFinType1,object,37,2.53,6
MasVnrArea,float64,8,0.55,327
Electrical,object,1,0.07,5
