Feature,Dtype,Missing_Count,Missing_Pct,Unique_Values
Id,int64,0,0.0,1460
MSSubClass,int64,0,0.0,15
MSZoning,object,0,0.0,5
LotFrontage,float64,259,17.74,110
LotArea,int64,0,0.0,1073
Street,object,0,0.0,2
Alley,object,1369,93.77,2
LotShape,object,0,0.0,4
LandContour,object,0,0.0,4
Utilities,object,0,0.0,2
LotConfig,object,0,0.0,5
LandSlope,object,0,0.0,3
Neighborhood,object,0,0.0,25
Condition1,object,0,0.0,9
Condition2,object,0,0.0,8
BldgType,object,0,0.0,5
HouseStyle,object,0,0.0,8
OverallQual,int64,0,0.0,10
OverallCond,int64,0,0.0,9
YearBuilt,int64,0,0.0,112
YearRemodAdd,int64,0,0.0,61
RoofStyle,object,0,0.0,6
RoofMatl,object,0,0.0,8
Exterior1st,object,0,0.0,15
Exterior2nd,object,0,0.0,16
MasVnrType,object,872,59.73,3
MasVnrArea,float64,8,0.55,327
ExterQual,object,0,0.0,4
ExterCond,object,0,0.0,5
Foundation,object,0,0.0,6
BsmtQual,object,37,2.53,4
BsmtCond,object,37,2.53,4
BsmtExposure,object,38,2.6,4
BsmtFinType1,object,37,2.53,6
BsmtFinSF1,int64,0,0.0,637
BsmtFinType2,object,38,2.6,6
BsmtFinSF2,int64,0,0.0,144
BsmtUnfSF,int64,0,0.0,780
TotalBsmtSF,int64,0,0.0,721
Heating,object,0,0.0,6
HeatingQC,object,0,0.0,5
CentralAir,object,0,0.0,2
Electrical,object,1,0.07,5
1stFlrSF,int64,0,0.0,753
2ndFlrSF,int64,0,0.0,417
LowQualFinSF,int64,0,0.0,24
GrLivArea,int64,0,0.0,861
BsmtFullBath,int64,0,0.0,4
BsmtHalfBath,int64,0,0.0,3
FullBath,int64,0,0.0,4
HalfBath,int64,0,0.0,3
BedroomAbvGr,int64,0,0.0,8
KitchenAbvGr,int64,0,0.0,4
KitchenQual,object,0,0.0,4
TotRmsAbvGrd,int64,0,0.0,12
Functional,object,0,0.0,7
Fireplaces,int64,0,0.0,4
FireplaceQu,object,690,47.26,5
GarageType,object,81,5.55,6
GarageYrBlt,float64,81,5.55,97
GarageFinish,object,81,5.55,3
GarageCars,int64,0,0.0,5
GarageArea,int64,0,0.0,441
GarageQual,object,81,5.55,5
GarageCond,object,81,5.55,5
PavedDrive,object,0,0.0,3
WoodDeckSF,int64,0,0.0,274
OpenPorchSF,int64,0,0.0,202
EnclosedPorch,int64,0,0.0,120
3SsnPorch,int64,0,0.0,20
ScreenPorch,int64,0,0.0,76
PoolArea,int64,0,0.0,8
PoolQC,object,1453,99.52,3
Fence,object,1179,80.75,4
MiscFeature,object,1406,96.3,4
MiscVal,int64,0,0.0,21
MoSold,int64,0,0.0,12
YrSold,int64,0,0.0,5
SaleType,object,0,0.0,9
SaleCondition,object,0,0.0,6
SalePrice,int64,0,0.0,663
